query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75302.1	KAG2183919.1	0.221011	4.63487	0.0476844	YN	64.394	510	792	249	6	33	633	79.92	6	789	789	99	99	19	785	785	0	1038	2684	RO3G_00006
EIE75303.1	KAG2179527.1	0.381213	4.00563	0.0951693	YN	49.734	187	376	154	9	35	228	60.64	1	343	346	99	99	1	374	483	6.36e-106	317	812	RO3G_00007
EIE75304.1	KAG2179559.1	0.117907	3.87569	0.0304221	YN	82.625	214	259	45	0	0	237	91.51	10	268	270	96	96	10	268	269	4.85e-167	461	1187	RO3G_00008
EIE75305.1	KAG2175304.1	0.120289	0.804339	0.14955	YN	81.988	132	161	29	0	0	146	90.68	1	161	161	100	100	1	161	161	1.32e-98	279	714	RO3G_00009
EIE75307.1	KAG2181562.1	0.542593	4.42064	0.122741	YN	40.272	207	514	245	9	62	306	59.53	27	483	483	95	95	96	604	604	5.98e-135	401	1030	RO3G_00011
EIE75310.1	KAG2182594.1	0.323087	4.90541	0.0658635	YN	62.185	592	952	350	5	10	728	76.47	10	960	969	98	98	18	960	969	0	1187	3070	RO3G_00014
EIE75315.1	KAG2174486.1	0.252062	4.34464	0.0580167	YN	63.924	303	474	162	3	9	373	78.69	1	472	472	100	100	32	498	498	0	600	1548	RO3G_00019
EIE75316.1	KAG2175295.1	0.386286	3.32014	0.116347	YN	50.968	79	155	62	3	14	102	65.81	1	141	141	100	100	1	155	155	4.36e-47	148	373	RO3G_00020
EIE75317.1	KAG2174490.1	0.533005	3.64608	0.146186	YN	40.351	69	171	92	4	10	106	61.99	21	186	197	84	84	16	181	191	1.32e-38	130	326	RO3G_00021
EIE75324.1	KAG2174436.1	0.622285	3.78997	0.164193	YN	27.885	87	312	133	10	92	130	41.67	5	255	286	88	88	17	297	377	4.83e-16	75.9	185	RO3G_00028
EIE75326.1	KAG2174497.1	0.276114	4.38077	0.0630285	YN	64.837	319	492	169	3	4	397	80.69	8	495	501	97	97	12	503	506	0	687	1772	RO3G_00030
EIE75329.1	KAG2185602.1	0.662319	2.45487	0.269798	YN	33.217	190	572	312	8	70	303	52.97	1	505	512	99	99	193	761	765	6.64e-114	352	904	RO3G_00033
EIE75332.1	KAG2185601.1	0.38311	3.4117	0.112293	YN	53.472	77	144	51	1	16	102	70.83	12	155	171	84	84	95	222	250	2.25e-48	155	393	RO3G_00036
EIE75335.1	KAG2180415.1	0.523258	99	0.00528544	YN	38.06	51	134	69	5	14	70	52.24	6	128	130	95	95	116	246	247	6.34e-22	85.9	211	RO3G_00039
EIE75338.1	KAG2174565.1	0.284377	1.56513	0.181695	YN	66.456	105	158	50	1	3	131	82.91	1	158	161	98	98	1	155	157	6.75e-76	222	565	RO3G_00042
EIE75341.1	KAG2189245.1	0.526072	4.1731	0.126063	YN	45.6	171	375	190	5	14	242	64.53	6	377	382	97	97	44	407	410	6.18e-109	324	830	RO3G_00045
EIE75343.1	KAG2176008.1	0.340861	4.12373	0.0826584	YN	53.368	206	386	158	6	22	263	68.13	1	379	379	100	100	47	417	417	3.81e-129	375	964	RO3G_00047
EIE75347.1	KAG2185277.1	0.624658	4.13212	0.151171	YN	32.07	110	343	218	8	15	191	55.69	1	333	449	74	74	290	627	892	2.09e-45	167	423	RO3G_00051
EIE75350.1	KAG2185590.1	0.244552	99	0.00247022	YN	60.95	231	379	128	8	20	281	74.14	1	361	398	91	91	151	527	530	1.95e-155	447	1150	RO3G_00054
EIE75351.1	KAG2179363.1	0.452884	4.2572	0.106381	YN	48.371	193	399	116	10	90	235	58.9	81	397	565	56	56	2	392	534	7.43e-114	347	891	RO3G_00055
EIE75356.1	KAG2185554.1	0.411865	3.34575	0.123101	YN	48.305	57	118	59	1	2	84	71.19	33	148	148	78	78	55	172	172	9.77e-33	112	280	RO3G_00060
EIE75359.1	KAG2173931.1	0.575157	3.33839	0.172286	YN	51.064	48	94	46	0	0	69	73.4	28	121	135	70	70	20	113	156	5.74e-24	89	219	RO3G_00063
EIE75361.1	KAG2181640.1	0.525968	4.31474	0.1219	YN	34.305	200	583	272	20	111	297	50.94	2	516	522	99	99	16	555	556	2.67e-77	251	642	RO3G_00065
EIE75362.1	KAG2173370.1	0.518509	3.40658	0.152208	YN	55.556	45	81	33	1	3	59	72.84	60	137	142	55	55	167	247	268	1.94e-28	103	257	RO3G_00066
EIE75363.1	KAG2188348.1	0.447726	3.07113	0.145785	YN	44.828	39	87	47	1	1	56	64.37	1	87	108	81	81	15	100	155	8.57e-21	79.7	195	RO3G_00067
EIE75365.1	KAG2177482.1	0.124659	3.45366	0.0360948	YN	85.294	116	136	20	0	0	126	92.65	12	147	149	91	91	41	176	177	2.47e-77	226	575	RO3G_00069
EIE75368.1	KAG2176727.1	0.249269	3.89663	0.0639705	YN	68.401	184	269	84	1	1	231	85.87	14	282	284	95	95	23	290	292	8.53e-150	419	1077	RO3G_00072
EIE75370.1	KAG2180764.1	0.516201	4.40786	0.117109	YN	36.96	231	625	242	11	152	302	48.32	2	479	568	84	84	62	681	769	3.81e-118	366	939	RO3G_00074
EIE75374.1	KAG2180558.1	0.370156	3.97735	0.093066	YN	45.429	164	361	156	4	41	221	61.22	3	326	338	96	96	6	362	365	1.05e-104	310	793	RO3G_00078
EIE75375.1	KAG2185546.1	0.388893	4.59771	0.0845841	YN	48.62	370	761	322	14	69	482	63.34	2	700	701	99	99	49	802	825	0	672	1734	RO3G_00079
EIE75376.1	KAG2186854.1	0.254359	4.22131	0.060256	YN	62.564	244	390	134	4	12	300	76.92	4	390	422	92	92	71	451	505	3.06e-167	477	1228	RO3G_00080
EIE75378.1	KAG2177690.1	0.381002	4.48919	0.0848709	YN	52.405	316	603	272	8	15	423	70.15	7	603	605	99	99	5	598	600	0	583	1503	RO3G_00082
EIE75382.1	KAG2187222.1	0.708061	3.99205	0.177368	YN	29.787	84	282	181	7	17	140	49.65	17	294	297	94	94	47	315	520	6.4e-23	96.7	239	RO3G_00086
EIE75383.1	KAG2187108.1	0.562698	4.01801	0.140044	YN	44.631	133	298	152	5	13	194	65.1	107	393	393	73	73	58	353	353	6.02e-88	268	686	RO3G_00087
EIE75388.1	KAG2188975.1	0.4764	3.92415	0.121402	YN	39.542	138	349	162	7	49	188	53.87	3	324	361	89	89	314	640	665	3.57e-73	238	607	RO3G_00092
