query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001562.1	XP_568304.1	0.256441	4.36648	0.0587294	YN	65.773	319	485	147	5	19	383	78.97	8	475	477	98	98	505	987	990	0	600	1548	CC2G_006699
KAG2001564.1	XP_567190.1	0.434905	4.11203	0.105764	YN	52.28	172	329	151	4	6	229	69.6	1	326	333	98	98	1	326	349	4.27e-115	335	859	CC2G_006701
KAG2001566.1	XP_024513853.1	0.341136	3.33861	0.102179	YN	52.137	61	117	44	2	12	79	67.52	9	125	125	94	94	39	143	143	6.52e-30	103	256	CC2G_006703
KAG2001568.1	XP_024512693.1	0.63708	1.74817	0.364426	YN	32.653	32	98	54	1	12	52	53.06	6	91	103	83	83	4	101	122	1.65e-13	60.1	144	CC2G_006705
KAG2001578.1	XP_572843.1	0.587373	4.30158	0.136548	YN	40.351	138	342	174	11	30	199	58.19	37	354	601	53	53	86	421	503	6.34e-58	200	509	CC2G_006714
KAG2001579.1	XP_024511968.1	0.657464	4.0149	0.163756	YN	38.732	110	284	160	6	14	152	53.52	6	287	295	96	96	4	275	284	3.47e-48	160	405	CC2G_006715
KAG2001581.1	XP_570005.1	0.638228	4.65876	0.136995	YN	32.527	242	744	395	28	107	367	49.33	10	733	745	97	97	4	660	736	5.87e-87	288	736	CC2G_006716
KAG2001804.1	XP_024514030.1	0.817955	5.22055	0.15668	YN	27.953	239	855	538	17	78	418	48.89	90	912	1914	43	43	57	865	1417	1.02e-59	225	574	CC2G_004933
KAG2001805.1	XP_569465.1	0.191287	2.97046	0.0643965	YN	75.652	87	115	28	0	0	102	88.7	8	122	122	94	94	6	120	120	5.37e-61	181	459	CC2G_004934
KAG2001807.1	XP_567276.2	0.790444	3.77667	0.209297	YN	29.167	42	144	93	4	9	66	45.83	4	143	286	49	49	25	163	228	5.96e-07	47.8	112	CC2G_004936
KAG2001813.1	XP_024514047.1	0.656106	4.83988	0.135562	YN	32.76	343	1047	656	12	48	588	56.16	10	1023	1025	99	99	295	1326	1330	7.83e-158	499	1286	CC2G_004942
KAG2001816.1	XP_024514493.1	0.554386	99	0.00559986	YN	45.882	39	85	44	1	2	57	67.06	1	85	97	88	88	2	84	130	1.3e-20	78.2	191	CC2G_004945
KAG2001817.1	XP_572692.1	0.671144	3.86588	0.173607	YN	63.636	49	77	26	1	2	59	76.62	85	159	295	25	25	153	229	333	3.77e-25	100	250	CC2G_004946
KAG2001825.1	XP_024513180.1	0.584087	4.37665	0.133455	YN	39.752	192	483	229	10	62	267	55.28	102	583	588	82	82	289	710	712	3.83e-105	331	848	CC2G_004954
KAG2001826.1	XP_566778.1	0.183894	4.06238	0.0452675	YN	72.423	260	359	96	2	3	311	86.63	1	358	358	100	100	1	357	357	0	559	1440	CC2G_004955
KAG2001828.1	XP_024514079.1	0.37884	2.38394	0.158913	YN	57.009	122	214	87	2	5	155	72.43	58	268	270	78	78	5	216	220	2.97e-83	247	630	CC2G_004957
KAG2001831.1	XP_568660.1	0.491157	4.10005	0.119793	YN	44.371	134	302	128	13	40	186	61.59	68	354	356	81	81	50	326	329	2.25e-45	156	395	CC2G_004960
KAG2001833.1	XP_567894.1	0.452187	4.01164	0.112719	YN	46.078	94	204	90	5	20	123	60.29	58	247	424	45	45	1	198	295	3.3e-47	162	409	CC2G_004962
KAG2001899.1	XP_570243.1	0.317326	4.20312	0.0754978	YN	59.737	227	380	135	7	18	269	70.79	9	374	384	95	95	2	377	378	4e-154	437	1125	CC2G_004883
KAG2001911.1	XP_568947.1	0.525534	7.14841	0.0735177	YN	34.021	132	388	183	13	73	180	46.39	1	341	341	100	100	1	362	362	7.16e-47	160	406	CC2G_004894
KAG2001917.1	XP_024512059.1	0.326752	3.11949	0.104745	YN	51.724	60	116	42	3	14	71	61.21	1	102	109	94	94	1	116	165	8.53e-35	115	289	CC2G_004900
KAG2001918.1	XP_570945.1	0.672873	4.52395	0.148736	YN	52.439	43	82	37	1	2	59	71.95	534	613	640	24	13	813	894	917	1.38e-22	101	251	CC2G_004901
KAG2001919.1	XP_024514414.1	0.588622	3.97567	0.148056	YN	38.376	104	271	152	3	15	152	56.09	8	270	300	88	88	5	268	317	3.19e-55	180	456	CC2G_004902
KAG2002012.1	XP_569126.1	0.662905	2.49725	0.265454	YN	36.076	57	158	88	3	13	83	52.53	60	209	322	47	47	195	347	466	6.19e-23	97.1	240	CC2G_004864
KAG2002220.1	XP_024512436.1	0.312721	5.15953	0.0606104	YN	67.266	785	1167	340	6	42	930	79.69	211	1341	1367	83	83	199	1359	1384	0	1539	3984	CC2G_004431
KAG2002234.1	XP_024511928.1	0.59656	4.18598	0.142514	YN	37.432	137	366	194	10	35	186	50.82	1	355	423	84	84	1	342	608	1.15e-61	208	529	CC2G_004441
