Gene	PS
MGG_00005	11
MGG_00010	1
MGG_00013	12
MGG_00015	1
MGG_00016	1
MGG_00017	1
MGG_00018	1
MGG_00019	1
MGG_00020	1
MGG_00021	11
MGG_00022	1
MGG_00023	1
MGG_00024	1
MGG_00026	1
MGG_00031	1
MGG_00032	2
MGG_00033	1
MGG_00035	1
MGG_00039	1
MGG_00040	1
MGG_00041	1
MGG_00042	1
MGG_00043	11
MGG_00045	1
MGG_00046	1
MGG_00047	12
MGG_00048	1
MGG_00049	6
MGG_00050	1
MGG_00052	3
MGG_00053	1
MGG_00054	1
MGG_00056	1
MGG_00057	1
MGG_00058	1
MGG_00059	1
MGG_00061	6
MGG_00062	2
MGG_00063	1
MGG_00065	1
MGG_00066	1
MGG_00067	1
MGG_00068	2
MGG_00070	6
MGG_00071	11
MGG_00072	1
MGG_00073	1
MGG_00074	2
MGG_00075	1
MGG_00076	2
MGG_00077	11
MGG_00078	3
MGG_00079	2
MGG_00080	6
MGG_00081	1
MGG_00082	1
MGG_00083	11
MGG_00084	1
MGG_00085	1
MGG_00086	1
MGG_00087	1
MGG_00088	1
MGG_00095	1
MGG_00096	2
MGG_00097	1
MGG_00099	2
MGG_00100	1
MGG_00101	1
MGG_00102	1
MGG_00103	1
MGG_00104	2
MGG_00105	1
MGG_00106	1
MGG_00109	1
MGG_00110	1
MGG_00111	1
MGG_00112	6
MGG_00116	6
MGG_00117	1
MGG_00118	1
MGG_00119	12
MGG_00120	2
MGG_00123	2
MGG_00124	2
MGG_00125	3
MGG_00126	2
MGG_00127	1
MGG_00128	1
MGG_00129	7
MGG_00130	9
MGG_00133	1
MGG_00134	2
MGG_00135	1
MGG_00136	2
MGG_00137	2
MGG_00138	1
MGG_00139	2
MGG_00140	2
MGG_00141	1
MGG_00142	1
MGG_00143	2
MGG_00144	1
MGG_00145	1
MGG_00146	7
MGG_00148	11
MGG_00149	1
MGG_00150	3
MGG_00151	2
MGG_00152	1
MGG_00153	1
MGG_00154	2
MGG_00155	1
MGG_00156	1
MGG_00157	2
MGG_00158	1
MGG_00160	9
MGG_00161	1
MGG_00162	2
MGG_00163	1
MGG_00164	1
MGG_00166	1
MGG_00167	1
MGG_00168	1
MGG_00169	2
MGG_00170	1
MGG_00171	1
MGG_00172	1
MGG_00174	2
MGG_00175	1
MGG_00176	3
MGG_00177	3
MGG_00178	3
MGG_00179	2
MGG_00180	1
MGG_00181	1
MGG_00183	1
MGG_00184	2
MGG_00187	1
MGG_00190	2
MGG_00193	1
MGG_00194	1
MGG_00195	1
MGG_00198	1
MGG_00199	1
MGG_00201	1
MGG_00202	1
MGG_00203	3
MGG_00204	1
MGG_00205	7
MGG_00207	2
MGG_00208	2
MGG_00210	1
MGG_00211	1
MGG_00212	1
MGG_00213	1
MGG_00215	2
MGG_00216	8
MGG_00220	1
MGG_00221	1
MGG_00222	2
MGG_00223	1
MGG_00225	11
MGG_00226	3
MGG_00227	2
MGG_00230	1
MGG_00232	12
MGG_00233	1
MGG_00234	1
MGG_00238	1
MGG_00239	1
MGG_00241	1
MGG_00242	11
MGG_00243	6
MGG_00244	1
MGG_00245	3
MGG_00246	1
MGG_00249	2
MGG_00252	3
MGG_00253	1
MGG_00254	2
MGG_00255	1
MGG_00256	1
MGG_00257	1
MGG_00258	2
MGG_00259	11
MGG_00260	2
MGG_00261	2
MGG_00264	2
MGG_00265	1
MGG_00266	7
MGG_00267	11
MGG_00268	1
MGG_00269	4
MGG_00270	1
MGG_00271	2
MGG_00272	2
MGG_00273	2
MGG_00274	1
MGG_00275	1
MGG_00276	1
MGG_00277	2
MGG_00278	11
MGG_00281	1
MGG_00282	1
MGG_00283	7
MGG_00287	11
MGG_00288	2
MGG_00289	1
MGG_00290	6
MGG_00291	1
MGG_00292	6
MGG_00294	4
MGG_00295	1
MGG_00296	1
MGG_00297	1
MGG_00298	3
MGG_00299	6
MGG_00300	1
MGG_00301	1
MGG_00302	1
MGG_00304	1
MGG_00305	4
MGG_00306	7
MGG_00307	1
MGG_00308	2
MGG_00309	1
MGG_00310	3
MGG_00311	1
MGG_00312	1
MGG_00314	1
MGG_00316	1
MGG_00317	1
MGG_00318	1
MGG_00319	1
MGG_00320	6
MGG_00321	1
MGG_00322	1
MGG_00325	2
MGG_00329	2
MGG_00330	1
MGG_00331	1
MGG_00332	3
MGG_00333	3
MGG_00336	1
MGG_00338	1
MGG_00339	2
MGG_00340	2
MGG_00341	1
MGG_00342	2
MGG_00343	1
MGG_00345	1
MGG_00346	1
MGG_00347	1
MGG_00348	1
MGG_00349	1
MGG_00350	3
MGG_00351	1
MGG_00352	3
MGG_00354	1
MGG_00355	1
MGG_00356	1
MGG_00357	1
MGG_00359	1
MGG_00360	2
MGG_00361	1
MGG_00362	1
MGG_00363	1
MGG_00364	1
MGG_00365	1
MGG_00366	2
MGG_00367	12
MGG_00369	1
MGG_00370	2
MGG_00371	1
MGG_00373	1
MGG_00374	1
MGG_00375	1
MGG_00378	1
MGG_00379	6
MGG_00380	11
MGG_00382	1
MGG_00383	1
MGG_00384	2
MGG_00385	1
MGG_00387	11
MGG_00388	2
MGG_00389	11
MGG_00390	11
MGG_00391	6
MGG_00392	1
MGG_00393	2
MGG_00394	8
MGG_00395	11
MGG_00396	1
MGG_00397	1
MGG_00398	11
