Gene	PS
BCIN_01g00010	3
BCIN_01g00020	3
BCIN_01g00030	3
BCIN_01g00040	3
BCIN_01g00050	3
BCIN_01g00060	3
BCIN_01g00070	3
BCIN_01g00080	3
BCIN_01g00090	3
BCIN_01g00100	4
BCIN_01g00110	4
BCIN_01g00120	5
BCIN_01g00130	6
BCIN_01g00140	4
BCIN_01g00150	4
BCIN_01g00160	3
BCIN_01g00170	3
BCIN_01g00180	3
BCIN_01g00190	3
BCIN_01g00200	3
BCIN_01g00210	3
BCIN_01g00220	3
BCIN_01g00230	5
BCIN_01g00240	3
BCIN_01g00250	6
BCIN_01g00260	3
BCIN_01g00270	3
BCIN_01g00280	3
BCIN_01g00290	3
BCIN_01g00300	3
BCIN_01g00310	5
BCIN_01g00320	6
BCIN_01g00330	3
BCIN_01g00340	3
BCIN_01g00350	3
BCIN_01g00360	3
BCIN_01g00370	3
BCIN_01g00380	6
BCIN_01g00390	3
BCIN_01g00400	3
BCIN_01g00410	3
BCIN_01g00420	3
BCIN_01g00430	6
BCIN_01g00440	3
BCIN_01g00450	4
BCIN_01g00460	3
BCIN_01g00470	3
BCIN_01g00480	3
BCIN_01g00490	3
BCIN_01g00500	4
BCIN_01g00510	3
BCIN_01g00520	4
BCIN_01g00530	6
BCIN_01g00540	3
BCIN_01g00550	3
BCIN_01g00560	6
BCIN_01g00570	3
BCIN_01g00580	3
BCIN_01g00590	3
BCIN_01g00600	10
BCIN_01g00610	6
BCIN_01g00620	6
BCIN_01g00630	3
BCIN_01g00640	3
BCIN_01g00650	3
BCIN_01g00660	3
BCIN_01g00670	3
BCIN_01g00680	10
BCIN_01g00690	10
BCIN_01g00700	10
BCIN_01g00710	3
BCIN_01g00720	3
BCIN_01g00730	3
BCIN_01g00740	4
BCIN_01g00750	3
BCIN_01g00760	4
BCIN_01g00770	3
BCIN_01g00780	3
BCIN_01g00790	6
BCIN_01g00800	3
BCIN_01g00810	3
BCIN_01g00820	3
BCIN_01g00830	3
BCIN_01g00840	6
BCIN_01g00850	4
BCIN_01g00860	4
BCIN_01g00870	3
BCIN_01g00880	3
BCIN_01g00890	3
BCIN_01g00900	3
BCIN_01g00910	9
BCIN_01g00920	10
BCIN_01g00930	3
BCIN_01g00940	10
BCIN_01g00950	3
BCIN_01g00960	10
BCIN_01g00970	4
BCIN_01g00980	3
BCIN_01g00990	9
BCIN_01g01000	10
BCIN_01g01010	3
BCIN_01g01020	7
BCIN_01g01030	9
BCIN_01g01040	3
BCIN_01g01050	4
BCIN_01g01060	9
BCIN_01g01070	3
BCIN_01g01080	3
BCIN_01g01090	3
BCIN_01g01100	3
BCIN_01g01110	4
BCIN_01g01115	6
BCIN_01g01120	3
BCIN_01g01130	10
BCIN_01g01140	3
BCIN_01g01150	3
BCIN_01g01160	3
BCIN_01g01170	10
BCIN_01g01180	3
BCIN_01g01190	3
BCIN_01g01200	6
BCIN_01g01210	3
BCIN_01g01220	3
BCIN_01g01230	3
BCIN_01g01240	9
BCIN_01g01250	10
BCIN_01g01260	4
BCIN_01g01270	12
BCIN_01g01280	4
BCIN_01g01290	3
BCIN_01g01300	3
BCIN_01g01310	5
BCIN_01g01320	3
BCIN_01g01330	6
BCIN_01g01340	4
BCIN_01g01350	4
BCIN_01g01360	4
BCIN_01g01370	3
BCIN_01g01380	3
BCIN_01g01390	4
BCIN_01g01400	4
BCIN_01g01410	3
BCIN_01g01420	3
BCIN_01g01430	3
BCIN_01g01440	3
BCIN_01g01450	3
BCIN_01g01460	4
BCIN_01g01470	6
BCIN_01g01480	4
BCIN_01g01490	3
BCIN_01g01500	3
BCIN_01g01510	3
BCIN_01g01520	3
BCIN_01g01530	3
BCIN_01g01540	9
BCIN_01g01550	10
BCIN_01g01560	10
BCIN_01g01570	5
BCIN_01g01580	4
BCIN_01g01590	9
BCIN_01g01600	4
BCIN_01g01610	3
BCIN_01g01620	4
BCIN_01g01630	3
BCIN_01g01640	3
BCIN_01g01650	10
BCIN_01g01660	10
BCIN_01g01670	10
BCIN_01g01680	4
BCIN_01g01690	3
BCIN_01g01700	3
BCIN_01g01710	3
BCIN_01g01720	3
BCIN_01g01730	4
BCIN_01g01740	3
BCIN_01g01750	9
BCIN_01g01760	3
BCIN_01g01770	4
BCIN_01g01780	6
BCIN_01g01790	3
BCIN_01g01800	3
BCIN_01g01810	3
BCIN_01g01820	3
BCIN_01g01830	3
BCIN_01g01840	3
BCIN_01g01850	4
BCIN_01g01860	3
BCIN_01g01870	3
BCIN_01g01880	3
BCIN_01g01890	4
BCIN_01g01900	3
BCIN_01g01910	3
BCIN_01g01920	4
BCIN_01g01930	4
BCIN_01g01940	4
BCIN_01g01950	3
BCIN_01g01960	4
BCIN_01g01970	3
BCIN_01g01980	6
BCIN_01g01990	3
BCIN_01g02000	3
BCIN_01g02010	6
BCIN_01g02020	3
BCIN_01g02030	4
BCIN_01g02040	4
BCIN_01g02050	3
BCIN_01g02060	6
BCIN_01g02070	6
BCIN_01g02080	4
BCIN_01g02090	3
BCIN_01g02100	3
BCIN_01g02110	3
BCIN_01g02120	3
BCIN_01g02130	3
BCIN_01g02140	9
BCIN_01g02150	6
BCIN_01g02160	3
BCIN_01g02170	3
BCIN_01g02180	3
BCIN_01g02190	3
BCIN_01g02200	3
BCIN_01g02210	3
BCIN_01g02220	4
BCIN_01g02230	3
BCIN_01g02240	3
BCIN_01g02250	3
BCIN_01g02260	3
BCIN_01g02270	6
BCIN_01g02280	9
BCIN_01g02290	3
BCIN_01g02300	3
BCIN_01g02310	3
BCIN_01g02320	3
BCIN_01g02330	3
BCIN_01g02340	3
BCIN_01g02350	3
BCIN_01g02360	3
BCIN_01g02370	3
BCIN_01g02380	3
BCIN_01g02390	4
BCIN_01g02400	4
BCIN_01g02410	3
BCIN_01g02420	3
BCIN_01g02430	5
BCIN_01g02440	3
BCIN_01g02450	3
BCIN_01g02460	3
BCIN_01g02470	4
BCIN_01g02480	10
BCIN_01g02490	3
BCIN_01g02500	3
BCIN_01g02510	3
BCIN_01g02520	3
BCIN_01g02530	6
BCIN_01g02540	6
BCIN_01g02550	6
BCIN_01g02560	3
BCIN_01g02565	4
BCIN_01g02570	4
BCIN_01g02580	3
BCIN_01g02590	11
BCIN_01g02600	6
BCIN_01g02610	3
BCIN_01g02620	4
BCIN_01g02630	3
