query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001562.1	XP_011387631.1	0.256818	4.33917	0.059186	YN	66.885	307	459	134	2	18	378	82.35	35	475	477	92	92	560	1018	1021	0	620	1600	CC2G_006699
KAG2001566.1	XP_011388802.1	0.311301	3.25631	0.0955993	YN	53.782	64	119	38	3	17	86	72.27	9	125	125	94	94	5	108	108	5.54e-37	120	300	CC2G_006703
KAG2001568.1	XP_011388697.1	0.555464	3.22493	0.172241	YN	34.109	44	129	39	1	46	61	47.29	5	87	103	81	81	4	132	170	2.74e-17	70.9	172	CC2G_006705
KAG2001578.1	XP_011391623.1	0.641332	4.29393	0.149358	YN	33.492	141	421	175	19	105	186	44.18	36	353	601	53	53	94	512	628	5.18e-32	129	324	CC2G_006714
KAG2001579.1	XP_011389523.1	0.795093	4.08756	0.194516	YN	33.094	92	278	179	2	7	149	53.6	2	272	295	92	92	14	291	316	5.23e-46	155	393	CC2G_006715
KAG2001581.1	XP_011388224.1	0.603273	4.65004	0.129735	YN	34.443	269	781	347	24	165	379	48.53	40	732	745	93	93	36	739	863	1.19e-110	354	909	CC2G_006716
KAG2001626.1	XP_011392352.1	0.838269	4.38448	0.19119	YN	25.558	103	403	241	13	59	173	42.93	519	901	1095	35	35	1	364	561	3.28e-21	97.4	241	CC2G_006664
KAG2001804.1	XP_011387037.1	0.742922	5.39425	0.137725	YN	31.023	367	1183	729	16	87	652	55.11	123	1243	1914	59	59	229	1386	2194	2.38e-140	483	1244	CC2G_004933
KAG2001805.1	XP_011389662.1	0.116696	2.93329	0.0397832	YN	83.193	99	119	19	1	1	108	90.76	1	119	122	98	98	1	118	123	4.28e-69	201	512	CC2G_004934
KAG2001807.1	XP_011391876.1	0.791244	3.8533	0.205342	YN	27.778	40	144	84	4	20	67	46.53	5	143	286	49	49	94	222	305	4.51e-07	48.5	114	CC2G_004936
KAG2001813.1	XP_011387046.1	0.666471	4.82534	0.138119	YN	34.393	357	1038	643	13	38	568	54.72	5	1024	1025	99	99	290	1307	1310	2.16e-162	511	1316	CC2G_004942
KAG2001816.1	XP_011390753.1	0.697934	99	0.00704984	YN	37.5	30	80	47	3	3	47	58.75	6	82	97	79	79	11	90	126	6.05e-09	48.1	113	CC2G_004945
