query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001451.1	TFK20580.1	0.256436	4.8508	0.0528647	YN	59.655	553	927	323	29	51	683	73.68	3	909	911	99	99	2	897	900	0	1026	2654	CC2G_006744
KAG2001553.1	TFK29485.1	0.38256	2.9517	0.129606	YN	48.421	46	95	39	4	10	59	62.11	5	98	110	85	85	10	95	107	2.45e-19	75.5	184	CC2G_006690
KAG2001564.1	TFK29478.1	0.106207	4.03089	0.0263483	YN	83.636	276	330	54	0	0	295	89.39	1	330	333	99	99	1	330	334	0	536	1382	CC2G_006701
KAG2001566.1	TFK29519.1	0.146552	3.32471	0.0440795	YN	75.2	94	125	27	2	4	105	84	1	125	125	100	100	1	121	121	9.66e-62	183	465	CC2G_006703
KAG2001568.1	TFK29521.1	0.101178	3.17571	0.03186	YN	80.583	83	103	19	1	1	94	91.26	1	103	103	100	100	1	102	102	4.54e-54	162	411	CC2G_006705
KAG2001569.1	TFK29522.1	0.204953	2.72333	0.0752583	YN	76.793	182	237	52	1	3	207	87.34	31	264	347	67	67	1	237	297	1.02e-123	356	914	CC2G_006706
KAG2001573.1	TFK29524.1	0.423436	3.26225	0.129799	YN	59.494	47	79	30	1	2	67	84.81	81	157	163	47	47	29	107	110	3.37e-29	102	254	CC2G_006709
KAG2001578.1	TFK29526.1	0.229	4.2949	0.0533189	YN	67.976	225	331	98	3	8	262	79.15	23	345	601	67	54	1	331	441	7.32e-155	451	1159	CC2G_006714
KAG2001579.1	TFK29527.1	0.151593	4.13828	0.0366318	YN	77.855	225	289	63	1	1	263	91	4	292	295	98	98	3	290	293	3.64e-172	477	1227	CC2G_006715
KAG2001581.1	TFK29528.1	0.317268	1.98068	0.160181	YN	58.716	448	763	294	6	21	571	74.84	2	744	745	99	99	3	764	841	0	904	2337	CC2G_006716
KAG2001633.1	TFK16658.1	0.334182	2.48468	0.134497	YN	56.463	83	147	63	1	1	100	68.03	78	224	632	23	23	2	147	147	7.34e-50	169	427	CC2G_006671
KAG2001801.1	TFK24982.1	0.212612	4.31547	0.0492675	YN	72.868	282	387	105	0	0	331	85.53	53	439	439	88	88	32	418	418	0	583	1504	CC2G_004930
KAG2001803.1	TFK24984.1	0.264409	4.40756	0.0599899	YN	61.021	263	431	148	4	20	322	74.71	1	415	430	97	97	1	427	431	4.12e-180	508	1308	CC2G_004932
KAG2001804.1	TFK24987.1	0.186091	4.84722	0.0383913	YN	69.081	639	925	266	5	20	767	82.92	1	908	1914	47	47	1	922	929	0	1239	3207	CC2G_004933
KAG2001805.1	TFK24988.1	0.0224826	2.86614	0.00784423	YN	94.355	117	124	5	2	2	118	95.16	1	122	122	100	100	1	124	124	9.14e-79	226	577	CC2G_004934
KAG2001807.1	TFK25795.1	0.309165	1.77847	0.173838	YN	60.554	175	289	102	3	12	216	74.74	1	279	286	98	98	82	368	382	4.52e-114	332	852	CC2G_004936
KAG2001810.1	TFK24959.1	0.378358	2.70858	0.139689	YN	49.288	173	351	158	5	20	233	66.38	3	336	340	98	98	5	352	484	1.3e-97	296	758	CC2G_004939
KAG2001812.1	TFK24962.1	0.0751926	1.88604	0.039868	YN	86.576	890	1028	131	4	7	961	93.48	1	1027	1027	100	100	1	1022	1022	0	1843	4774	CC2G_004941
KAG2001813.1	TFK24963.1	0.0810343	2.32935	0.0347884	YN	85.876	304	354	50	0	0	334	94.35	672	1025	1025	35	35	1	354	354	0	646	1667	CC2G_004942
KAG2001815.1	TFK26966.1	0.522643	3.62407	0.144214	YN	37.037	70	189	104	5	15	114	60.32	5	188	190	97	97	55	233	236	1.56e-39	134	336	CC2G_004944
KAG2001816.1	TFK24966.1	0.152501	3.13953	0.0485743	YN	79.775	71	89	18	0	0	82	92.13	1	89	97	92	92	1	89	102	1.13e-52	159	401	CC2G_004945
KAG2001817.1	TFK24967.1	0.338601	1.97994	0.171016	YN	56.818	125	220	81	2	14	160	72.73	86	291	295	70	70	1	220	225	1.02e-77	234	598	CC2G_004946
KAG2001818.1	TFK24969.1	0.245627	2.31661	0.106028	YN	67.442	232	344	109	3	3	281	81.69	1	341	360	95	95	1	344	360	2.6e-158	447	1150	CC2G_004947
KAG2001821.1	TFK24971.1	0.169249	1.5252	0.110968	YN	70.794	606	856	225	9	25	694	81.07	1	840	847	99	99	1	847	853	0	1197	3097	CC2G_004950
KAG2001822.1	TFK24972.1	0.132436	2.14034	0.0618761	YN	67.568	350	518	109	10	59	392	75.68	1	495	495	100	100	1	482	482	0	629	1621	CC2G_004951
KAG2001825.1	TFK24976.1	0.32989	4.3336	0.0761238	YN	56.54	268	474	175	4	31	336	70.89	117	586	588	80	80	49	495	497	0	559	1441	CC2G_004954
KAG2001826.1	TFK24977.1	0.0355348	4.06079	0.00875069	YN	93.855	336	358	22	0	0	350	97.77	1	358	358	100	100	1	358	358	0	703	1814	CC2G_004955
KAG2001828.1	TFK24958.1	0.0733209	3.84907	0.019049	YN	86.047	185	215	30	0	0	202	93.95	54	268	270	80	80	1	215	217	4.94e-139	389	998	CC2G_004957
KAG2001829.1	TFK24375.1	0.0929383	2.13573	0.0435159	YN	79.14	497	628	90	11	41	534	85.03	20	634	634	97	97	19	618	618	0	882	2280	CC2G_004958
KAG2001831.1	TFK24371.1	0.205743	2.68698	0.0765703	YN	66.944	241	360	101	10	18	289	80.28	1	356	356	100	100	1	346	346	1.68e-147	419	1077	CC2G_004960
KAG2001833.1	TFK28077.1	0.127758	4.07995	0.0313136	YN	67.292	251	373	76	6	46	280	75.07	58	424	424	87	87	1	333	333	5.26e-150	427	1099	CC2G_004962
KAG2001893.1	TFK21903.1	0.307446	1.64051	0.187409	YN	55.65	522	938	344	30	72	629	67.06	15	923	928	98	98	90	984	989	0	780	2014	CC2G_004877
KAG2001896.1	TFK22767.1	0.504948	4.01462	0.125777	YN	42.812	137	320	155	6	28	186	58.13	14	325	328	95	95	12	311	313	5.39e-85	258	658	CC2G_004880
KAG2001897.1	TFK21897.1	0.485816	3.76667	0.128978	YN	43.519	94	216	98	8	24	126	58.33	16	219	237	86	86	1	204	219	4.07e-51	164	416	CC2G_004881
KAG2001899.1	TFK21900.1	0.105304	2.16944	0.0485399	YN	79.793	308	386	72	3	6	343	88.86	1	383	384	99	99	1	383	385	0	619	1596	CC2G_004883
KAG2001907.1	TFK26959.1	0.676566	2.11898	0.319288	YN	32.74	92	281	163	7	26	153	54.45	9	288	309	91	91	11	266	281	8.67e-42	145	365	CC2G_004890
KAG2001909.1	TFK19545.1	0.675673	4.04649	0.166978	YN	36.255	91	251	152	4	8	147	58.57	4	254	299	84	84	16	258	312	2.27e-44	152	384	CC2G_004892
KAG2001911.1	TFK21101.1	0.263924	2.32211	0.113657	YN	53.611	193	360	123	10	44	235	65.28	1	341	341	100	100	1	335	335	2.36e-104	308	789	CC2G_004894
KAG2001912.1	TFK21093.1	0.0257065	3.73504	0.00688254	YN	95.378	227	238	11	0	0	232	97.48	1	238	238	100	100	25	262	262	5.32e-170	468	1203	CC2G_004895
KAG2001916.1	TFK28413.1	0.284487	3.72013	0.0764722	YN	59.901	121	202	77	1	4	162	80.2	9	206	206	96	96	12	213	213	4.5e-83	244	623	CC2G_004899
KAG2001917.1	TFK28412.1	0.0659265	3.12971	0.0210648	YN	85.567	83	97	14	0	0	88	90.72	1	97	109	89	89	1	97	98	1.51e-60	179	454	CC2G_004900
KAG2001918.1	TFK28411.1	0.118722	4.44514	0.0267082	YN	73.476	482	656	118	12	56	525	80.03	1	615	640	96	96	123	763	786	0	823	2125	CC2G_004901
KAG2001919.1	TFK18888.1	0.253111	3.88051	0.0652262	YN	59.197	177	299	119	2	3	210	70.23	1	299	300	99	99	1	296	312	5.81e-113	328	840	CC2G_004902
KAG2001988.1	TFK20555.1	0.652653	3.72312	0.175297	YN	30.961	87	281	120	8	74	128	45.55	56	325	380	71	71	21	238	351	7.09e-13	68.2	165	CC2G_004839
KAG2002002.1	TFK28670.1	0.868439	4.39946	0.197397	YN	26.992	105	389	237	8	47	168	43.19	191	561	696	53	53	122	481	550	2.1e-33	134	337	CC2G_004853
KAG2002008.1	TFK16468.1	0.181206	1.15004	0.157565	YN	62.476	323	517	129	15	65	370	71.57	1	496	527	94	94	1	473	510	0	519	1337	CC2G_004859
KAG2002205.1	TFK18584.1	0.53277	4.55517	0.116959	YN	34.416	159	462	231	11	72	230	49.78	414	868	899	51	51	225	621	624	3.11e-70	243	621	CC2G_004416
KAG2002219.1	TFK18280.1	0.219686	3.84385	0.0571526	YN	67.606	192	284	84	2	8	218	76.76	21	304	304	93	93	1	276	276	1.31e-139	394	1012	CC2G_004430
KAG2002220.1	TFK18039.1	0.0532489	5.07958	0.0104829	YN	95.823	1147	1197	39	2	11	1163	97.16	171	1367	1367	88	88	57	1242	1242	0	2310	5985	CC2G_004431
KAG2002226.1	TFK18591.1	0.473568	1.30834	0.361961	YN	57.692	30	52	22	0	0	32	61.54	30	81	237	22	22	9	60	61	1.08e-10	54.7	130	CC2G_004434
KAG2002228.1	TFK18846.1	0.813528	2.99962	0.271211	YN	35.652	41	115	69	2	5	64	55.65	135	247	483	23	23	56	167	275	5.67e-13	68.2	165	CC2G_004435
KAG2002234.1	TFK18583.1	0.076827	4.16884	0.0184289	YN	86.301	315	365	47	2	3	338	92.6	59	423	423	86	86	1	362	362	0	656	1693	CC2G_004441
