query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001451.1	e_gw1.14.170.1	0.368754	4.07854	0.0904133	YN	52.885	165	312	137	4	10	214	68.59	598	909	911	34	34	1	302	304	1.63e-100	314	805	CC2G_006744
KAG2001562.1	gw1.10.114.1	0.185009	4.25858	0.0434437	YN	73.282	288	393	88	4	17	324	82.44	100	475	477	79	79	1	393	395	0	562	1449	CC2G_006699
KAG2001564.1	estExt_Genewise	0.164922	4.08594	0.0403634	YN	76.524	251	328	76	1	1	287	87.5	1	327	333	98	98	1	328	336	0	523	1348	CC2G_006701
KAG2001566.1	estExt_fgenesh2	0.179221	2.22032	0.0807186	YN	70.588	84	119	26	1	9	99	83.19	7	125	125	95	95	3	112	112	4.42e-55	166	420	CC2G_006703
KAG2001568.1	estExt_fgenesh2	0.258634	3.17736	0.0813988	YN	65.306	64	98	33	1	1	79	80.61	6	103	103	95	95	8	104	104	4.53e-43	134	338	CC2G_006705
KAG2001573.1	estExt_Genewise	0.537711	3.61318	0.148819	YN	50.794	64	126	61	1	1	87	69.05	35	159	163	77	77	49	174	183	1.05e-35	120	302	CC2G_006709
KAG2001578.1	estExt_fgenesh2	0.477	4.3288	0.110192	YN	44.379	150	338	157	5	31	202	59.76	34	340	601	66	51	26	363	505	1.08e-84	272	695	CC2G_006714
KAG2001579.1	fgenesh2_pg.10_	0.416693	4.03224	0.10334	YN	51.014	151	296	133	5	12	201	67.91	4	295	295	99	99	1	288	288	1.36e-97	287	735	CC2G_006715
KAG2001636.1	e_gw1.3.685.1	0.569155	3.56482	0.159659	YN	46.429	65	140	75	0	0	93	66.43	76	215	230	61	61	4	143	144	1.2e-42	140	352	CC2G_006674
KAG2001801.1	estExt_Genewise	0.291358	4.28666	0.0679685	YN	62.344	250	401	136	4	15	306	76.31	49	439	439	89	89	27	422	422	0	518	1333	CC2G_004930
KAG2001803.1	estExt_Genewise	0.59486	4.36811	0.136182	YN	39.767	171	430	235	11	24	247	57.44	1	415	430	97	97	4	424	444	9.15e-94	288	736	CC2G_004932
KAG2001804.1	e_gw1.7.498.1	0.393426	5.40798	0.0727491	YN	49.744	971	1952	821	31	160	1318	67.52	29	1908	1914	98	98	20	1883	1890	0	1667	4318	CC2G_004933
KAG2001805.1	estExt_fgenesh2	0.0467607	2.48312	0.0188314	YN	88.8	111	125	11	2	3	117	93.6	1	122	122	100	100	1	125	125	6.11e-76	219	558	CC2G_004934
KAG2001810.1	Genemark.5814_g	0.478715	4.20265	0.113908	YN	43.195	146	338	181	7	11	208	61.54	4	336	340	98	98	20	351	521	5.57e-88	272	695	CC2G_004939
KAG2001812.1	e_gw1.7.564.1	0.30232	4.97047	0.0608231	YN	59.184	609	1029	383	9	37	757	73.57	5	1027	1027	99	99	9	1006	1006	0	1260	3261	CC2G_004941
KAG2001813.1	estExt_Genewise	0.296055	4.36188	0.0678732	YN	60.302	319	529	209	1	1	407	76.94	498	1025	1025	52	52	8	536	536	0	637	1642	CC2G_004942
KAG2001816.1	estExt_Genewise	0.260082	2.30539	0.112815	YN	67.416	60	89	29	0	0	76	85.39	2	90	97	92	92	3	91	101	7.24e-44	136	342	CC2G_004945
KAG2001825.1	estExt_Genewise	0.301895	4.37981	0.0689287	YN	58.065	288	496	184	5	24	368	74.19	113	588	588	81	81	8	499	499	0	605	1561	CC2G_004954
KAG2001826.1	estExt_fgenesh2	0.132974	3.4352	0.0387094	YN	77.654	278	358	78	1	2	325	90.78	1	358	358	100	100	1	356	356	0	600	1548	CC2G_004955
KAG2001828.1	estExt_fgenesh2	0.119922	3.86474	0.0310297	YN	79.535	171	215	44	0	0	191	88.84	54	268	270	80	80	1	215	217	5.29e-121	343	879	CC2G_004957
KAG2001829.1	estExt_Genewise	0.253895	4.55683	0.0557175	YN	57.627	374	649	194	20	81	433	66.72	13	616	634	95	95	3	615	627	0	602	1553	CC2G_004958
KAG2001831.1	estExt_fgenesh2	0.382644	4.05601	0.09434	YN	49.725	181	364	147	13	36	228	62.64	4	356	356	99	99	2	340	340	2.63e-80	247	631	CC2G_004960
KAG2001833.1	fgenesh2_kg.7_#	0.418389	2.16417	0.193325	YN	41	164	400	176	11	60	223	55.75	58	424	424	87	87	1	373	373	3.71e-78	245	625	CC2G_004962
KAG2001899.1	estExt_Genewise	0.158432	4.05381	0.0390823	YN	72.849	271	372	94	3	7	302	81.18	10	376	384	96	96	8	377	380	0	543	1400	CC2G_004883
KAG2001911.1	e_gw1.3.710.1	0.397367	3.75894	0.105712	YN	52.336	112	214	88	5	14	135	63.08	129	341	341	62	62	2	202	202	2.81e-66	206	524	CC2G_004894
KAG2001912.1	estExt_Genewise	0.0515404	3.82526	0.0134737	YN	89.873	213	237	24	0	0	225	94.94	1	237	238	99	99	25	261	263	6.81e-160	442	1136	CC2G_004895
KAG2001917.1	e_gw1.1.3044.1	0.143376	3.14339	0.0456121	YN	83.333	75	90	15	0	0	82	91.11	1	90	109	83	83	1	90	104	3.91e-56	167	424	CC2G_004900
KAG2001918.1	estExt_fgenesh2	0.297709	4.57539	0.0650675	YN	47.727	336	704	246	26	122	417	59.23	1	615	640	96	96	121	791	814	1.4e-162	484	1247	CC2G_004901
KAG2001919.1	estExt_fgenesh2	0.214822	3.85286	0.0557566	YN	58.863	176	299	82	6	41	210	70.23	1	299	300	99	99	1	258	274	2.13e-110	319	818	CC2G_004902
KAG2002000.1	estExt_fgenesh2	0.350373	4.20408	0.0833411	YN	59.116	214	362	139	4	9	257	70.99	27	388	388	93	93	23	375	375	1.22e-146	419	1076	CC2G_004851
KAG2002008.1	Genemark.5615_g	0.303168	3.53662	0.0857223	YN	55.612	109	196	44	7	43	126	64.29	267	459	527	37	37	2	157	206	8.54e-55	182	461	CC2G_004859
KAG2002208.1	e_gw1.9.554.1	0.540588	4.63179	0.116713	YN	35.256	269	763	352	23	142	398	52.16	54	774	777	93	93	69	731	733	5.86e-130	402	1034	CC2G_004419
KAG2002213.1	Genemark.9961_g	0.750068	4.28721	0.174955	YN	29.572	76	257	173	4	8	119	46.3	268	520	524	48	48	207	459	471	2.32e-28	116	290	CC2G_004424
KAG2002217.1	Genemark.6133_g	0.811843	3.91826	0.207195	YN	40.351	23	57	32	2	2	33	57.89	446	502	636	9	9	108	162	339	2.22e-06	48.5	114	CC2G_004428
KAG2002220.1	estExt_Genewise	0.0744214	5.00367	0.0148734	YN	91.271	1056	1157	101	0	0	1099	94.99	211	1367	1367	85	85	11	1167	1167	0	2109	5465	CC2G_004431
KAG2002241.1	estExt_fgenesh2	0.432259	4.48813	0.0963116	YN	44.367	256	577	244	20	77	328	56.85	54	602	641	86	86	26	553	572	1.55e-113	350	898	CC2G_004446
KAG2002253.1	e_gw1.13.68.1	0.188235	4.56034	0.0412765	YN	57.162	427	747	159	15	161	486	65.06	4	745	745	99	99	1	591	591	0	750	1937	CC2G_004454
KAG2002260.1	e_gw1.17.222.1	0.208118	4.05614	0.0513093	YN	68.405	223	326	92	2	11	261	80.06	36	361	361	90	90	1	315	315	2.04e-171	478	1230	CC2G_004461
KAG2002263.1	estExt_Genewise	0.396425	3.7337	0.106175	YN	49.495	98	198	86	6	14	128	64.65	19	209	212	90	90	7	197	199	5.08e-53	167	423	CC2G_004464
KAG2002264.1	estExt_Genewise	0.289946	4.32426	0.0670509	YN	56.421	268	475	150	9	57	329	69.26	63	503	506	87	87	1	452	469	0	525	1353	CC2G_004465
KAG2002269.1	estExt_fgenesh2	0.163753	4.65816	0.0351541	YN	75.132	571	760	180	3	9	651	85.66	1	751	751	100	100	1	760	760	0	1164	3011	CC2G_004470
KAG2002292.1	estExt_fgenesh2	0.250477	3.4624	0.0723422	YN	77.358	82	106	23	1	1	92	86.79	50	155	156	68	68	60	164	169	8.31e-58	176	446	CC2G_004493
KAG2002293.1	e_gw1.13.311.1	0.398525	4.94205	0.0806396	YN	47.373	496	1047	489	19	62	689	65.81	42	1078	1092	95	95	5	999	1085	0	937	2421	CC2G_004494
KAG2002298.1	estExt_Genewise	0.372541	4.10627	0.090725	YN	58.609	177	302	122	3	3	228	75.5	12	311	312	96	96	9	309	311	1.29e-128	367	943	CC2G_004499
KAG2002301.1	estExt_fgenesh2	0.629935	3.20553	0.196515	YN	43.939	29	66	34	1	3	43	65.15	31	93	114	55	55	19	84	133	1.91e-14	63.2	152	CC2G_004502
KAG2002302.1	estExt_Genewise	0.38088	3.75525	0.101426	YN	59.649	102	171	67	2	2	133	77.78	1	170	236	72	72	1	170	274	1e-64	201	510	CC2G_004503
KAG2002303.1	estExt_Genewise	0.210175	4.46382	0.0470841	YN	65.056	350	538	152	4	36	423	78.62	10	545	560	96	96	4	507	515	0	681	1757	CC2G_004504
KAG2002305.1	estExt_Genewise	0.735687	4.01829	0.183084	YN	31.833	99	311	199	5	13	160	51.45	5	308	309	98	98	6	310	574	1.15e-40	147	371	CC2G_004506
KAG2002307.1	estExt_fgenesh2	0.0851477	3.96832	0.0214568	YN	84.302	290	344	43	3	11	309	89.83	4	347	347	99	99	2	334	334	0	573	1478	CC2G_004508
KAG2002316.1	fgenesh2_pm.8_#	0.467933	4.29506	0.108947	YN	43.478	200	460	230	6	30	281	61.09	18	475	479	96	96	5	436	437	6.52e-129	379	974	CC2G_004517
KAG2002321.1	estExt_fgenesh2	0.193958	4.11326	0.0471545	YN	60.638	228	376	124	4	24	282	75	1	369	369	100	100	1	359	359	3.08e-147	419	1077	CC2G_004521
KAG2002322.1	Genemark.9864_g	0.607767	3.68586	0.164891	YN	60.938	39	64	25	0	0	48	75	18	81	356	18	18	2	65	211	5.05e-17	77.4	189	CC2G_004522
KAG2002337.1	Genemark.8816_g	0.488067	3.11517	0.156674	YN	42.169	35	83	32	2	16	53	63.86	41	107	123	54	54	13	95	100	1.85e-15	65.5	158	CC2G_004535
KAG2002340.1	estExt_fgenesh2	0.177936	99	0.00179733	YN	65.511	359	548	134	14	55	406	74.09	1	532	532	100	100	1	509	509	0	556	1433	CC2G_004538
KAG2002341.1	estExt_Genewise	0.4035	4.26457	0.0946168	YN	55.615	208	374	148	7	18	259	69.25	35	400	458	80	80	9	372	427	2.74e-139	405	1040	CC2G_004540
KAG2002360.1	estExt_Genewise	0.276362	5.38916	0.051281	YN	60.137	1145	1904	654	29	105	1426	74.89	282	2160	2164	87	87	1	1824	1825	0	2212	5732	CC2G_004560
KAG2002365.1	estExt_fgenesh2	0.296273	4.14183	0.0715319	YN	58.857	206	350	130	4	14	263	75.14	1	342	344	99	99	261	604	606	1.91e-148	430	1105	CC2G_004564
KAG2002366.1	e_gw1.13.318.1	0.190041	4.91061	0.0387001	YN	69.303	736	1062	268	13	58	838	78.91	1	1043	1044	99	99	1	1023	1028	0	1256	3250	CC2G_004566
KAG2002367.1	estExt_Genewise	0.137006	4.7009	0.0291447	YN	80.488	594	738	135	1	9	661	89.57	82	819	819	90	90	47	775	775	0	1228	3177	CC2G_004567
KAG2002372.1	Genemark.8818_g	0.770078	3.3315	0.231151	YN	44.898	22	49	24	1	3	37	75.51	140	185	328	14	14	52	100	117	8.82e-08	48.5	114	CC2G_004570
KAG2002378.1	estExt_Genewise	0.348943	3.82902	0.0911313	YN	58.549	113	193	70	2	10	135	69.95	1	192	197	97	97	1	184	200	8.02e-76	224	572	CC2G_004574
KAG2002382.1	estExt_fgenesh2	0.54553	3.44156	0.158513	YN	35.333	53	150	86	4	11	84	56	95	236	238	60	60	1	147	163	1.39e-25	97.1	240	CC2G_004577
KAG2002384.1	estExt_Genewise	0.264256	5.43345	0.0486351	YN	60.83	1143	1879	616	28	120	1398	74.4	1	1852	1852	100	100	1	1786	1786	0	2142	5550	CC2G_004579
KAG2002391.1	estExt_fgenesh2	0.329887	3.99926	0.082487	YN	60.232	156	259	101	1	2	212	81.85	3	259	259	99	99	2	260	260	4.71e-116	332	850	CC2G_004586
KAG2002393.1	estExt_fgenesh2	0.589699	4.17944	0.141095	YN	77.465	55	71	16	0	0	64	90.14	155	225	531	13	13	38	108	673	3.11e-31	126	317	CC2G_004587
KAG2002394.1	Genemark.8823_g	0.728378	1.69209	0.430461	YN	37.821	177	468	224	19	67	237	50.64	128	573	579	77	77	108	530	538	9.7e-48	173	439	CC2G_004588
KAG2002395.1	Genemark.8822_g	0.353423	4.83716	0.0730642	YN	51.078	379	742	293	19	70	460	61.99	29	745	1048	83	68	22	718	881	0	642	1655	CC2G_004589
KAG2002397.1	estExt_fgenesh2	0.409911	3.98171	0.102948	YN	52.419	130	248	92	4	26	165	66.53	1	247	309	80	80	26	248	284	9.79e-79	239	611	CC2G_004591
KAG2002398.1	estExt_fgenesh2	0.237796	4.70291	0.0505636	YN	64.833	542	836	264	4	30	668	79.9	28	860	860	97	97	8	816	816	0	1138	2943	CC2G_004592
KAG2002400.1	estExt_fgenesh2	0.242538	4.79592	0.0505718	YN	63.32	492	777	275	6	10	631	81.21	1	771	777	99	99	1	773	778	0	984	2544	CC2G_004594
