query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001451.1	KAF8432955.1	0.593294	2.56045	0.231715	YN	36.525	206	564	274	20	84	294	52.13	395	911	911	57	57	374	900	900	2.37e-86	295	754	CC2G_006744
KAG2001566.1	KAF8415169.1	0.248783	3.31497	0.0750483	YN	60.504	72	119	39	2	8	90	75.63	7	125	125	95	95	2	112	112	3.67e-46	144	363	CC2G_006703
KAG2001568.1	KAF8418116.1	0.328032	3.07982	0.10651	YN	62.791	54	86	32	0	0	68	79.07	4	89	103	83	83	2	87	97	7.85e-35	114	284	CC2G_006705
KAG2001573.1	KAF8435146.1	0.539317	3.56724	0.151186	YN	46.457	59	127	64	3	4	88	69.29	30	153	163	76	76	24	149	153	1.05e-35	120	301	CC2G_006709
KAG2001578.1	KAF8452677.1	0.516024	4.25498	0.121275	YN	44.068	156	354	162	11	36	206	58.19	32	361	601	55	55	2	343	445	6.06e-70	231	590	CC2G_006714
KAG2001579.1	KAF8452690.1	0.373567	4.09337	0.0912615	YN	56.187	168	299	124	4	7	212	70.9	4	295	295	99	99	3	301	301	1.32e-110	321	823	CC2G_006715
KAG2001801.1	KAF8442990.1	0.302333	4.26221	0.0709334	YN	60.8	228	375	135	2	12	283	75.47	65	439	439	85	85	29	391	391	6.57e-165	468	1205	CC2G_004930
KAG2001803.1	KAF8442988.1	0.544339	4.41161	0.123388	YN	44.697	177	396	210	6	9	249	62.88	25	415	430	91	91	28	419	443	9.37e-106	319	817	CC2G_004932
KAG2001804.1	KAF8443123.1	0.382349	5.43882	0.0702999	YN	47.907	973	2031	899	29	159	1317	64.84	1	1911	1914	99	99	1	1992	1994	0	1557	4031	CC2G_004933
KAG2001805.1	KAF8440292.1	0.0376717	3.06378	0.0122958	YN	91.935	114	124	8	2	2	118	95.16	1	122	122	100	100	1	124	124	1.17e-77	224	570	CC2G_004934
KAG2001813.1	KAF8423711.1	0.458172	4.85745	0.0943237	YN	46.602	480	1030	539	6	11	705	68.45	2	1025	1025	99	99	288	1312	1312	0	871	2250	CC2G_004942
KAG2001815.1	KAF8438583.1	0.596975	2.38538	0.250264	YN	37.931	66	174	87	3	21	91	52.3	28	181	190	81	81	12	184	188	2.03e-31	111	278	CC2G_004944
KAG2001816.1	KAF8443066.1	0.269561	3.12814	0.0861729	YN	64.773	57	88	31	0	0	75	85.23	3	90	97	91	91	7	94	97	1.06e-41	131	329	CC2G_004945
KAG2001817.1	KAF8443067.1	0.460086	3.78716	0.121486	YN	54.362	81	149	56	7	12	102	68.46	25	169	295	49	49	31	171	212	1.57e-38	134	336	CC2G_004946
KAG2001821.1	KAF8443064.1	0.445704	4.8218	0.0924353	YN	43.853	371	846	427	18	48	536	63.36	1	814	847	96	96	1	830	858	0	645	1665	CC2G_004950
KAG2001822.1	KAF8443061.1	0.315579	4.43083	0.0712235	YN	52.789	265	502	165	9	72	330	65.74	22	492	495	95	95	21	481	484	6.72e-153	443	1140	CC2G_004951
KAG2001825.1	KAF8443042.1	0.407746	4.37177	0.093268	YN	52.229	246	471	187	3	38	314	66.67	115	585	588	80	80	44	476	477	8.24e-179	513	1320	CC2G_004954
KAG2001826.1	KAF8443060.1	0.125489	4.12654	0.0304101	YN	78.771	282	358	76	0	0	324	90.5	1	358	358	100	100	1	358	358	0	609	1571	CC2G_004955
KAG2001828.1	KAF8424444.1	0.15912	2.55849	0.0621929	YN	76.995	164	213	49	0	0	190	89.2	58	270	270	79	79	1	213	213	9.66e-113	322	826	CC2G_004957
KAG2001829.1	KAF8442806.1	0.288938	4.57112	0.0632094	YN	56.921	366	643	191	27	86	429	66.72	22	619	634	94	94	25	626	638	0	545	1403	CC2G_004958
KAG2001831.1	KAF8446391.1	0.378677	4.04757	0.0935567	YN	51.237	145	283	115	7	23	191	67.49	89	355	356	75	75	6	281	281	7.91e-86	259	663	CC2G_004960
KAG2001899.1	KAF8445016.1	0.229383	4.10288	0.0559079	YN	64.917	235	362	113	4	14	271	74.86	15	372	384	93	93	10	361	363	6.85e-169	475	1222	CC2G_004883
KAG2001911.1	KAF8444855.1	0.411386	3.99155	0.103064	YN	52.423	119	227	93	4	15	153	67.4	118	341	341	66	66	100	314	314	9.04e-71	222	565	CC2G_004894
KAG2001917.1	KAF8414557.1	0.236996	3.11293	0.0761326	YN	81.111	73	90	14	1	3	79	87.78	1	90	109	83	83	1	87	106	1.33e-50	154	389	CC2G_004900
KAG2001918.1	KAF8446406.1	0.233545	4.428	0.0527427	YN	56.815	371	653	170	25	112	433	66.31	2	615	640	96	96	106	685	707	0	558	1437	CC2G_004901
KAG2001919.1	KAF8446408.1	0.287896	3.82275	0.0753111	YN	66.814	151	226	71	2	4	184	81.42	9	234	300	75	75	2	223	271	6.65e-92	273	697	CC2G_004902
KAG2002003.1	KAF8435313.1	0.681596	4.00247	0.170294	YN	36.965	95	257	144	4	18	141	54.86	103	358	506	51	51	37	276	283	3.45e-50	172	436	CC2G_004854
KAG2002008.1	KAF8433291.1	0.451993	4.17878	0.108164	YN	58.824	100	170	50	6	20	117	68.82	217	382	527	31	31	115	268	334	6.43e-49	171	432	CC2G_004859
