query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315562.1	XP_018154095.1	0.68051	4.05412	0.167857	YN	30.882	42	136	90	3	4	63	46.32	130	263	331	40	40	693	826	1136	3.19e-11	63.5	153	FGSG_11579
XP_011315592.1	XP_018157725.1	0.410992	4.34393	0.094613	YN	51.713	166	321	122	4	33	212	66.04	380	667	720	57	40	204	524	647	1.28e-102	327	838	FGSG_00011
XP_011315594.1	XP_018158925.1	0.194937	4.34265	0.044889	YN	71.402	377	528	144	4	7	440	83.33	11	534	535	98	98	27	551	575	0	741	1914	FGSG_00013
XP_011315596.1	XP_018151722.1	0.570791	3.73209	0.152941	YN	35.714	65	182	101	6	16	102	56.04	50	228	234	76	76	529	697	833	1.82e-31	120	301	FGSG_11649
XP_011315597.1	XP_018161907.1	0.493182	4.07995	0.12088	YN	41.711	156	374	206	4	12	232	62.03	10	373	375	97	97	29	400	403	2.66e-102	307	786	FGSG_00014
XP_011315598.1	XP_018161137.1	0.282439	4.3779	0.0645147	YN	63.138	334	529	191	3	4	422	79.77	6	533	539	98	98	2	527	542	0	720	1859	FGSG_00015
XP_011315600.1	XP_018162698.1	0.456596	3.92387	0.116364	YN	48.454	141	291	142	3	8	181	62.2	3	293	319	91	91	8	290	312	1.12e-90	272	695	FGSG_00016
XP_011315601.1	XP_018154075.1	0.421199	4.42135	0.0952647	YN	52.008	259	498	231	4	8	347	69.68	70	564	565	88	88	90	582	584	9.6e-180	518	1335	FGSG_00017
XP_011315608.1	XP_018164796.1	0.173758	99	0.00175513	YN	77.778	182	234	50	1	2	209	89.32	31	262	264	88	88	41	274	278	6.85e-137	385	990	FGSG_00023
XP_011315609.1	XP_018164217.1	0.406888	4.09241	0.099425	YN	48.187	186	386	186	7	14	257	66.58	1	377	380	99	99	1	381	393	8.51e-129	374	961	FGSG_00024
XP_011315613.1	XP_018155334.1	0.325075	3.68247	0.0882764	YN	53.846	140	260	104	4	16	170	65.38	27	274	276	90	90	28	283	287	1.04e-93	277	708	FGSG_00028
XP_011315614.1	XP_018151542.1	0.525368	3.42513	0.153386	YN	53.509	61	114	53	0	0	78	68.42	20	133	179	64	64	52	165	392	1.49e-36	129	325	FGSG_00029
XP_011315620.1	XP_018152775.1	0.19844	99	0.00200444	YN	69.214	326	471	135	5	10	386	81.95	1	468	475	99	99	42	505	1172	0	702	1813	FGSG_11653
XP_011315622.1	XP_018156520.1	0.529454	5.28704	0.100142	YN	39.814	684	1718	854	36	180	965	56.17	1	1586	1599	99	99	666	2335	2344	0	1109	2868	FGSG_00036
XP_011315630.1	XP_018162263.1	0.594958	6.03746	0.0985444	YN	33.535	1604	4783	2737	122	442	2428	50.76	1	4437	4469	99	99	1412	6098	9457	0	2294	5944	FGSG_11659
XP_011315641.1	XP_018157754.1	0.311843	3.93619	0.0792247	YN	59.677	185	310	123	2	2	236	76.13	10	318	326	95	95	3	311	336	9.62e-140	398	1022	FGSG_00051
XP_011315642.1	XP_018158783.1	0.742419	4.03446	0.18402	YN	29.461	71	241	141	5	29	106	43.98	57	283	333	79	68	142	367	430	1.94e-26	107	268	FGSG_00052
XP_011315643.1	XP_018153416.1	0.28372	4.07008	0.0697085	YN	65.097	235	361	121	3	5	283	78.39	7	362	382	93	93	7	367	384	2.62e-175	492	1267	FGSG_00053
XP_011315645.1	XP_018153779.1	0.601754	5.69295	0.105701	YN	39.062	1066	2729	1575	32	88	1533	56.17	18	2689	3118	86	86	8	2705	2754	0	1837	4758	FGSG_00055
XP_011315648.1	XP_018160074.1	0.504596	4.60567	0.10956	YN	41.787	290	694	348	12	56	396	57.06	1	663	667	99	99	111	779	780	4.9e-168	499	1285	FGSG_11663
XP_011315652.1	XP_018158015.1	0.595919	2.94702	0.20221	YN	33.446	99	296	143	5	54	145	48.99	1	242	289	84	84	200	495	518	3.5e-33	126	316	FGSG_11667
XP_011315654.1	XP_018159765.1	0.267984	3.27204	0.0819011	YN	65	65	100	33	1	2	78	78	10	107	107	92	92	12	111	111	1.61e-41	131	330	FGSG_00059
XP_011315657.1	XP_018155222.1	0.52807	3.28809	0.160601	YN	38.406	53	138	74	4	11	72	52.17	1	131	134	98	98	1	134	136	2.86e-22	84.7	208	FGSG_00062
XP_011315658.1	XP_018164892.1	0.304168	1.29451	0.234968	YN	60.862	339	557	216	1	2	413	74.15	2	558	562	99	99	19	573	574	0	689	1779	FGSG_00063
XP_011315660.1	XP_018164893.1	0.303967	2.18428	0.139161	YN	64.286	72	112	40	0	0	89	79.46	1	112	175	64	64	92	203	217	5.29e-47	152	383	FGSG_11668
XP_011315662.1	XP_018158753.1	0.471625	4.13277	0.114118	YN	50.43	176	349	166	5	7	241	69.05	1	345	350	99	99	1	346	351	6.94e-122	354	908	FGSG_00066
XP_011315666.1	XP_018163599.1	0.338234	4.36806	0.0774335	YN	56.084	295	526	225	3	6	377	71.67	25	544	546	95	95	90	615	616	0	620	1598	FGSG_00070
XP_011315667.1	XP_018163103.1	0.511925	4.36724	0.117219	YN	41.498	205	494	275	5	14	309	62.55	15	497	513	94	94	25	515	530	2.14e-142	419	1077	FGSG_00071
XP_011315669.1	XP_018160175.1	0.452353	4.03244	0.112179	YN	46.847	156	333	168	6	9	213	63.96	1	328	337	97	97	1	329	341	2.6e-96	288	737	FGSG_00073
XP_011315675.1	XP_018151664.1	0.553163	4.07718	0.135673	YN	41.398	154	372	196	7	22	201	54.03	3	360	414	86	86	9	372	383	9.51e-83	257	657	FGSG_00079
XP_011315677.1	XP_018159696.1	0.735642	4.51295	0.163007	YN	30.265	171	565	322	19	72	264	46.73	162	685	691	76	76	36	569	656	1.26e-54	197	501	FGSG_00081
XP_011315680.1	XP_018153393.1	0.309168	4.26586	0.072475	YN	61.725	229	371	141	1	1	287	77.36	1	371	374	99	99	101	470	473	1.11e-171	486	1251	FGSG_00084
XP_011315681.1	XP_018153394.1	0.195687	4.37311	0.0447478	YN	71.34	346	485	129	2	10	396	81.65	7	491	491	99	99	14	488	488	0	716	1848	FGSG_00085
XP_011315682.1	XP_018153392.1	0.559038	4.7042	0.118838	YN	40.773	285	699	368	11	46	389	55.65	13	692	695	98	98	18	689	693	3.5e-173	510	1314	FGSG_11669
XP_011315683.1	XP_018153391.1	0.632656	3.49271	0.181136	YN	38.095	48	126	77	1	1	71	56.35	1	125	126	99	99	1	126	132	3.63e-30	104	259	FGSG_11670
XP_011315684.1	XP_018164228.1	0.313997	4.21136	0.0745594	YN	61.474	292	475	183	0	0	359	75.58	20	494	517	92	92	9	483	520	0	610	1573	FGSG_00087
XP_011315685.1	XP_018164227.1	0.300273	4.74194	0.0633228	YN	57.078	500	876	326	7	50	615	70.21	13	839	842	98	98	1	875	878	0	994	2570	FGSG_11671
XP_011315686.1	XP_018164226.1	0.527934	4.33682	0.121733	YN	40.483	134	331	157	6	40	179	54.08	122	416	516	73	57	201	527	756	1.62e-61	214	544	FGSG_11672
XP_011315692.1	XP_018155854.1	0.612756	3.70878	0.165218	YN	33.654	70	208	110	8	28	114	54.81	67	255	270	70	70	62	260	271	1.18e-30	114	285	FGSG_00093
XP_011315694.1	XP_018161359.1	0.284577	4.3828	0.0649304	YN	58.803	167	284	107	1	10	216	76.06	7	280	448	98	61	8	291	600	4.02e-110	336	862	FGSG_00095
XP_011315695.1	XP_018159848.1	0.217242	4.88355	0.0444844	YN	67.493	681	1009	317	6	11	827	81.96	2	1002	1004	99	99	6	1011	1012	0	1466	3794	FGSG_00096
XP_011315696.1	XP_018161986.1	0.505724	2.7298	0.18526	YN	84.699	155	183	28	0	0	165	90.16	1	183	583	31	31	1	183	625	9.87e-104	325	833	FGSG_00097
XP_011315699.1	XP_018160145.1	0.29122	3.80193	0.0765979	YN	61.314	168	274	103	3	3	213	77.74	1	274	276	99	99	1	271	273	2.57e-126	359	922	FGSG_00099
XP_011315700.1	XP_018161117.1	0.625654	4.29788	0.145573	YN	36.831	179	486	282	14	25	249	51.23	27	501	504	94	94	44	515	519	4.83e-72	236	603	FGSG_00100
XP_011315703.1	XP_018152801.1	0.389331	4.7002	0.0828328	YN	54.173	370	683	304	6	9	480	70.28	7	685	685	99	99	7	684	684	0	752	1941	FGSG_00103
XP_011315709.1	XP_018151486.1	0.188083	4.28671	0.0438758	YN	70.037	381	544	152	3	11	447	82.17	8	551	553	98	98	3	535	538	0	789	2037	FGSG_00107
XP_011315710.1	XP_018157825.1	0.235192	4.35821	0.0539653	YN	67.343	332	493	155	3	6	407	82.56	2	494	494	99	99	10	496	496	0	693	1789	FGSG_00108
XP_011315711.1	XP_018157826.1	0.123694	4.11819	0.0300359	YN	79.827	277	347	66	2	4	308	88.76	1	344	344	100	100	39	384	384	0	568	1465	FGSG_00109
XP_011315724.1	XP_018163676.1	0.732811	3.89925	0.187936	YN	29.603	82	277	167	10	28	131	47.29	5	266	288	91	91	6	269	295	9.57e-24	97.1	240	FGSG_00122
XP_011315728.1	XP_018154031.1	0.493578	4.86837	0.101385	YN	43.619	376	862	436	13	50	537	62.3	7	822	823	99	99	11	868	877	0	727	1877	FGSG_00126
XP_011315734.1	XP_018161885.1	0.368168	3.96855	0.0927712	YN	50.534	142	281	107	3	32	183	65.12	1	258	259	99	99	8	279	420	1.08e-92	278	711	FGSG_00132
XP_011315739.1	XP_018154920.1	0.223591	4.19549	0.0532932	YN	68.636	302	440	138	0	0	367	83.41	36	475	475	93	93	32	471	471	0	623	1607	FGSG_00136
XP_011315740.1	XP_018155810.1	0.18255	3.98876	0.045766	YN	72.727	216	297	78	2	3	251	84.51	1	294	298	99	99	1	297	302	2.7e-158	442	1137	FGSG_00137
XP_011315742.1	XP_018155183.1	0.154524	4.26512	0.0362297	YN	75.746	381	503	122	0	0	442	87.87	1	503	503	100	100	65	567	567	0	808	2088	FGSG_00139
XP_011315743.1	XP_018155777.1	0.287752	99	0.00290659	YN	62.637	399	637	225	4	13	495	77.71	429	1053	1063	76	59	340	975	984	0	812	2098	FGSG_00140
XP_011315748.1	XP_018155809.1	0.491416	4.62338	0.106289	YN	41.144	295	717	330	16	92	398	55.51	6	657	692	94	94	28	717	779	1.51e-167	499	1284	FGSG_00144
XP_011315749.1	XP_018151938.1	0.306279	4.22001	0.0725778	YN	61.637	241	391	149	1	1	307	78.52	2	392	392	99	99	6	395	395	1.12e-175	494	1271	FGSG_00145
XP_011315753.1	XP_018160897.1	0.373342	4.34017	0.0860201	YN	54.447	251	461	206	3	4	341	73.97	32	489	492	93	93	40	499	502	0	516	1328	FGSG_00148
XP_011315754.1	XP_018151191.1	0.402296	2.05481	0.195782	YN	53.191	125	235	109	1	1	168	71.49	1	235	238	99	99	1	234	236	3.73e-92	270	689	FGSG_11685
XP_011315756.1	XP_018151033.1	0.170787	3.70131	0.0461423	YN	70.201	245	349	102	1	2	293	83.95	1	349	349	100	100	1	347	347	0	524	1350	FGSG_00150
XP_011315759.1	XP_018156745.1	0.230081	4.49256	0.0512138	YN	64.559	388	601	160	10	53	446	74.21	21	581	584	96	96	14	601	603	0	655	1690	FGSG_00152
XP_011315760.1	XP_018163463.1	0.453284	4.54446	0.0997443	YN	46.449	242	521	232	9	47	320	61.42	149	634	649	75	75	105	613	634	1.05e-144	434	1115	FGSG_00153
XP_011315770.1	XP_018152722.1	0.24668	4.42689	0.0557231	YN	63.685	356	559	184	5	19	440	78.71	20	564	583	93	93	23	576	609	0	741	1914	FGSG_00161
XP_011315771.1	XP_018154966.1	0.28753	4.20408	0.068393	YN	61.654	246	399	147	3	6	309	77.44	22	419	423	94	94	15	408	416	0	511	1317	FGSG_00162
