query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75299.1	KAG2234392.1	0.183555	3.98339	0.0460801	YN	69.677	216	310	89	2	5	260	83.87	1	310	350	89	89	61	365	440	2.73e-161	457	1175	RO3G_00003
EIE75301.1	KAG2234304.1	0.0825286	4.00456	0.0206087	YN	81.586	288	353	48	1	17	307	86.97	1	336	336	100	100	1	353	353	0	588	1517	RO3G_00005
EIE75302.1	KAG2234208.1	0.095192	4.58868	0.020745	YN	77.666	619	797	163	5	15	692	86.83	1	789	789	100	100	1	790	790	0	1213	3139	RO3G_00006
EIE75303.1	KAG2233268.1	0.179103	3.85718	0.0464337	YN	59.309	223	376	100	8	53	247	65.69	1	346	346	100	100	1	353	353	5.81e-129	371	953	RO3G_00007
EIE75304.1	KAG2236545.1	0.0759644	3.73018	0.0203648	YN	87.879	232	264	32	0	0	249	94.32	7	270	270	98	98	7	270	270	2.89e-178	489	1260	RO3G_00008
EIE75305.1	KAG2232857.1	0.0770274	0.437773	0.175953	YN	89.441	144	161	17	0	0	155	96.27	1	161	161	100	100	1	161	161	1.84e-99	281	720	RO3G_00009
EIE75307.1	KAG2237439.1	0.327924	4.34279	0.0755098	YN	49.903	258	517	187	9	72	333	64.41	26	483	483	95	95	65	568	568	3.15e-175	503	1294	RO3G_00011
EIE75308.1	KAG2237440.1	0.149548	4.44972	0.0336084	YN	72.831	445	611	132	7	34	504	82.49	1	595	617	96	96	1	593	780	0	924	2387	RO3G_00012
EIE75309.1	KAG2230906.1	0.452347	3.04207	0.148697	YN	77.419	24	31	6	1	1	27	87.1	33	62	133	23	23	58	88	154	2.69e-10	53.5	127	RO3G_00013
EIE75310.1	KAG2235859.1	0.136502	4.88712	0.027931	YN	78.704	765	972	194	1	13	860	88.48	10	968	969	99	99	13	984	994	0	1592	4122	RO3G_00014
EIE75311.1	KAG2234668.1	0.251634	3.45852	0.0727577	YN	47.525	96	202	52	3	54	120	59.41	1	148	153	97	97	239	440	449	7.64e-58	184	468	RO3G_00015
EIE75315.1	KAG2235895.1	0.150361	4.29744	0.0349886	YN	75.687	358	473	114	1	1	417	88.16	1	472	472	100	100	32	504	504	0	769	1986	RO3G_00019
EIE75316.1	KAG2234301.1	0.218878	3.18577	0.068705	YN	61.074	91	149	44	3	14	112	75.17	7	141	141	96	96	4	152	152	8.13e-60	180	456	RO3G_00020
EIE75317.1	KAG2233127.1	0.283671	3.29955	0.0859726	YN	54.795	80	146	64	1	2	110	75.34	17	162	197	74	74	6	149	151	9.21e-58	177	449	RO3G_00021
EIE75318.1	KAG2233107.1	0.183356	4.22665	0.043381	YN	70.064	330	471	136	3	5	402	85.35	1	469	469	100	100	19	486	486	0	684	1766	RO3G_00022
EIE75319.1	KAG2234151.1	0.585719	3.90161	0.150123	YN	34.118	116	340	162	11	62	173	50.88	4	331	355	92	92	135	424	442	9.12e-43	152	384	RO3G_00023
EIE75320.1	KAG2234150.1	0.043916	4.0227	0.010917	YN	86.684	332	383	31	1	20	353	92.17	9	371	371	98	98	16	398	398	0	697	1800	RO3G_00024
EIE75324.1	KAG2233658.1	0.325446	3.82646	0.0850516	YN	48.148	130	270	77	9	63	164	60.74	1	255	286	89	89	8	229	339	1.38e-62	199	506	RO3G_00028
EIE75326.1	KAG2233635.1	0.18107	2.35172	0.0769947	YN	72.51	364	502	136	1	2	431	85.86	1	500	501	99	99	1	502	505	0	785	2028	RO3G_00030
EIE75332.1	KAG2233925.1	0.237373	3.32557	0.0713782	YN	64.238	97	151	38	1	16	117	77.48	7	157	171	88	88	89	223	251	1.73e-64	196	499	RO3G_00036
EIE75334.1	KAG2236748.1	0.258462	2.83609	0.091133	YN	42.4	53	125	30	3	42	69	55.2	5	87	87	95	95	3	127	127	7.71e-23	83.6	205	RO3G_00038
EIE75335.1	KAG2236747.1	0.238809	3.0658	0.0778947	YN	62.698	79	126	42	3	5	88	69.84	4	128	130	96	96	17	138	140	1.54e-42	135	340	RO3G_00039
EIE75338.1	KAG2236769.1	0.116631	0.464405	0.251141	YN	81.761	130	159	26	2	3	142	89.31	1	158	161	98	98	224	380	381	2.93e-86	256	653	RO3G_00042
EIE75339.1	KAG2236765.1	0.204556	2.16492	0.0944866	YN	55.738	68	122	33	5	21	81	66.39	1	102	102	100	100	1	121	121	5.07e-26	92	227	RO3G_00043
EIE75340.1	KAG2234121.1	0.130596	3.68855	0.0354057	YN	80.159	202	252	50	0	0	234	92.86	6	257	257	98	98	9	260	260	2.23e-156	433	1114	RO3G_00044
EIE75341.1	KAG2234095.1	0.255527	4.05741	0.0629779	YN	64.507	229	355	118	2	8	288	81.13	26	380	382	93	93	78	424	425	2.58e-171	483	1243	RO3G_00045
EIE75342.1	KAG2233265.1	0.0806368	3.98015	0.0202597	YN	85.387	298	349	51	0	0	321	91.98	1	349	349	100	100	6	354	354	0	632	1631	RO3G_00046
EIE75343.1	KAG2233279.1	0.188443	2.7976	0.0673588	YN	65.013	249	383	110	6	24	306	79.9	1	379	379	100	100	37	399	399	2.71e-178	499	1286	RO3G_00047
EIE75347.1	KAG2229499.1	0.552593	4.11788	0.134194	YN	38.244	135	353	197	10	21	198	56.09	1	339	449	76	76	304	649	1133	3.11e-61	214	544	RO3G_00051
EIE75348.1	KAG2232738.1	0.457591	3.72107	0.122973	YN	34.906	111	318	130	8	77	163	51.26	8	248	250	96	96	169	486	491	1.68e-44	154	390	RO3G_00052
EIE75349.1	KAG2236601.1	0.227835	3.71988	0.0612479	YN	70.909	156	220	64	0	0	190	86.36	5	224	2558	9	9	1	220	276	5.96e-111	353	905	RO3G_00053
EIE75350.1	KAG2236587.1	0.172088	99	0.00173826	YN	69.773	277	397	102	4	18	326	82.12	1	394	398	99	99	119	500	502	0	569	1467	RO3G_00054
EIE75351.1	KAG2236055.1	0.333039	4.35567	0.0764611	YN	45.649	299	655	212	25	144	376	57.4	17	551	565	95	95	10	640	644	5.77e-155	457	1175	RO3G_00055
EIE75352.1	KAG2236041.1	0.154347	4.28732	0.0360009	YN	62.581	388	620	126	22	106	433	69.84	1	591	593	99	99	18	560	565	0	635	1638	RO3G_00056
EIE75359.1	KAG2237691.1	0.226196	3.23117	0.0700045	YN	69.903	72	103	29	1	2	85	82.52	28	130	135	76	76	10	110	150	2.09e-47	148	374	RO3G_00063
