query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001451.1	e_gw1.3.1523.1	0.218596	4.08755	0.0534785	YN	65.605	206	314	100	4	8	245	78.03	598	911	911	34	34	1	306	306	2.61e-140	419	1076	CC2G_006744
KAG2001562.1	e_gw1.1.11050.1	0.123969	4.40175	0.0281636	YN	79.332	380	479	86	3	13	423	88.31	1	476	477	99	99	325	793	795	0	733	1893	CC2G_006699
KAG2001564.1	e_gw1.1.13480.1	0.14265	4.06947	0.0350537	YN	77.545	259	334	74	1	1	292	87.43	1	333	333	100	100	1	334	334	0	532	1370	CC2G_006701
KAG2001566.1	estExt_fgenesh1	0.208458	3.35523	0.0621293	YN	71.901	87	121	34	0	0	103	85.12	5	125	125	97	97	3	123	123	5.32e-54	164	416	CC2G_006703
KAG2001568.1	e_gw1.1.15220.1	0.186576	3.11166	0.0599603	YN	71	71	100	28	1	1	85	85	4	103	103	97	97	3	101	101	7.6e-49	149	377	CC2G_006705
KAG2001573.1	Lacbi1.eu2.Lbsc	0.406903	3.61126	0.112676	YN	54.194	84	155	64	2	7	104	67.1	6	160	163	95	95	5	152	164	1.45e-46	148	374	CC2G_006709
KAG2001578.1	Lacbi1.eu2.Lbsc	0.372089	4.28377	0.08686	YN	49.077	186	379	156	13	37	246	64.91	7	358	601	74	59	6	374	464	1.82e-104	323	827	CC2G_006714
KAG2001579.1	Lacbi1.eu2.Lbsc	0.267785	4.09193	0.0654421	YN	63.014	184	292	106	2	2	232	79.45	4	294	295	99	99	5	295	297	1.32e-133	379	974	CC2G_006715
KAG2001626.1	fgenesh1_pm.LG_	0.838485	4.95502	0.169219	YN	24.88	104	418	264	11	50	187	44.74	494	883	1095	36	36	1078	1473	1797	1.39e-24	110	276	CC2G_006664
KAG2001704.1	estExt_fgenesh3	0.00790484	1.40191	0.00563864	YN	98.084	256	261	5	0	0	261	100	25	285	528	49	49	1	261	262	0	507	1306	CC2G_004995
