Gene	PS
RO3G_00002	1
RO3G_00003	1
RO3G_00004	3
RO3G_00005	1
RO3G_00006	1
RO3G_00007	1
RO3G_00008	1
RO3G_00009	1
RO3G_00010	1
RO3G_00011	2
RO3G_00012	1
RO3G_00013	7
RO3G_00014	1
RO3G_00015	7
RO3G_00016	7
RO3G_00017	1
RO3G_00018	1
RO3G_00019	1
RO3G_00020	1
RO3G_00021	2
RO3G_00022	1
RO3G_00023	4
RO3G_00024	1
RO3G_00025	1
RO3G_00026	10
RO3G_00027	7
RO3G_00028	5
RO3G_00029	1
RO3G_00030	1
RO3G_00031	1
RO3G_00032	10
RO3G_00033	1
RO3G_00034	3
RO3G_00035	7
RO3G_00036	1
RO3G_00037	1
RO3G_00038	7
RO3G_00039	7
RO3G_00040	7
RO3G_00041	10
RO3G_00042	1
RO3G_00043	3
RO3G_00044	1
RO3G_00045	1
RO3G_00046	1
RO3G_00047	1
RO3G_00048	7
RO3G_00049	1
RO3G_00050	7
RO3G_00051	2
RO3G_00052	7
RO3G_00053	2
RO3G_00054	1
RO3G_00055	3
RO3G_00056	2
RO3G_00057	1
RO3G_00058	1
RO3G_00059	2
RO3G_00060	3
RO3G_00061	1
RO3G_00062	1
RO3G_00063	2
RO3G_00064	9
RO3G_00065	5
RO3G_00066	1
RO3G_00067	1
RO3G_00068	1
RO3G_00069	1
RO3G_00070	7
RO3G_00071	7
RO3G_00072	1
RO3G_00073	9
RO3G_00074	2
RO3G_00075	1
RO3G_00076	1
RO3G_00077	10
RO3G_00078	2
RO3G_00079	1
RO3G_00080	1
RO3G_00081	10
RO3G_00082	1
RO3G_00083	9
RO3G_00084	9
RO3G_00085	7
RO3G_00086	2
RO3G_00087	1
RO3G_00088	3
RO3G_00089	3
RO3G_00090	3
RO3G_00091	7
RO3G_00092	1
RO3G_00093	7
RO3G_00094	1
RO3G_00095	1
RO3G_00096	10
RO3G_00097	5
RO3G_00098	1
RO3G_00099	1
RO3G_00100	3
RO3G_00101	1
RO3G_00102	9
RO3G_00103	1
RO3G_00104	1
RO3G_00105	2
RO3G_00106	1
RO3G_00107	1
RO3G_00108	1
RO3G_00109	1
RO3G_00110	1
RO3G_00111	2
RO3G_00112	10
RO3G_00113	1
RO3G_00114	3
RO3G_00115	1
RO3G_00116	7
RO3G_00117	1
RO3G_00118	1
RO3G_00119	1
RO3G_00120	2
RO3G_00121	1
RO3G_00122	1
RO3G_00123	1
RO3G_00124	3
RO3G_00125	1
RO3G_00126	1
RO3G_00127	1
RO3G_00128	1
RO3G_00129	7
RO3G_00130	10
RO3G_00131	2
RO3G_00132	9
RO3G_00133	1
RO3G_00134	1
RO3G_00135	1
RO3G_00136	3
RO3G_00137	1
RO3G_00138	10
RO3G_00139	10
RO3G_00140	7
RO3G_00141	1
RO3G_00142	7
RO3G_00143	10
RO3G_00144	10
RO3G_00145	1
RO3G_00146	1
RO3G_00147	3
RO3G_00148	1
RO3G_00149	1
RO3G_00150	1
RO3G_00151	9
RO3G_00152	10
RO3G_00153	1
RO3G_00154	1
RO3G_00155	3
RO3G_00156	7
RO3G_00157	1
RO3G_00158	7
RO3G_00159	10
RO3G_00160	1
RO3G_00161	2
RO3G_00162	2
RO3G_00163	1
RO3G_00164	2
RO3G_00165	1
RO3G_00166	1
RO3G_00167	1
RO3G_00168	1
RO3G_00169	1
RO3G_00170	1
RO3G_00171	2
RO3G_00172	3
RO3G_00173	1
RO3G_00174	1
RO3G_00175	1
RO3G_00176	1
RO3G_00177	1
RO3G_00178	7
RO3G_00179	1
RO3G_00180	1
RO3G_00181	1
RO3G_00182	1
RO3G_00183	3
RO3G_00184	9
RO3G_00185	9
RO3G_00186	1
RO3G_00187	1
RO3G_00188	10
RO3G_00189	2
RO3G_00190	1
RO3G_00191	1
RO3G_00192	1
RO3G_00193	1
RO3G_00194	2
RO3G_00195	1
RO3G_00196	1
RO3G_00197	1
RO3G_00198	1
RO3G_00199	1
RO3G_00200	1
RO3G_00201	1
RO3G_00202	7
RO3G_00203	2
RO3G_00204	1
RO3G_00205	9
RO3G_00206	7
RO3G_00207	7
RO3G_00208	9
RO3G_00209	1
RO3G_00210	3
RO3G_00211	1
RO3G_00212	1
RO3G_00213	1
RO3G_00214	5
RO3G_00215	7
RO3G_00216	7
RO3G_00217	9
RO3G_00218	4
RO3G_00219	2
RO3G_00220	9
RO3G_00221	2
RO3G_00222	2
RO3G_00223	1
RO3G_00224	9
RO3G_00225	1
RO3G_00226	5
RO3G_00227	1
RO3G_00228	1
RO3G_00229	10
RO3G_00230	9
RO3G_00231	9
RO3G_00232	5
RO3G_00233	2
RO3G_00234	3
RO3G_00235	10
RO3G_00236	9
RO3G_00237	1
RO3G_00238	1
RO3G_00239	1
RO3G_00240	1
RO3G_00241	1
RO3G_00242	7
RO3G_00243	1
RO3G_00244	1
RO3G_00245	1
RO3G_00246	9
RO3G_00247	1
RO3G_00248	7
RO3G_00249	2
RO3G_00250	1
RO3G_00251	1
RO3G_00252	1
RO3G_00253	9
RO3G_00254	10
RO3G_00255	1
RO3G_00256	1
RO3G_00257	10
RO3G_00258	10
RO3G_00259	9
RO3G_00260	1
RO3G_00261	7
RO3G_00262	1
RO3G_00263	1
RO3G_00264	1
RO3G_00265	4
RO3G_00266	2
RO3G_00267	1
RO3G_00268	9
RO3G_00269	5
RO3G_00270	1
RO3G_00271	7
RO3G_00272	1
RO3G_00273	3
RO3G_00274	2
RO3G_00275	9
RO3G_00276	1
RO3G_00277	2
RO3G_00278	2
RO3G_00279	10
RO3G_00280	1
RO3G_00281	10
RO3G_00282	10
RO3G_00283	9
RO3G_00284	1
RO3G_00285	9
RO3G_00286	1
RO3G_00287	1
RO3G_00288	9
RO3G_00289	1
RO3G_00290	1
RO3G_00291	1
RO3G_00292	1
RO3G_00293	1
RO3G_00294	1
RO3G_00295	7
RO3G_00296	1
RO3G_00297	9
RO3G_00298	1
RO3G_00299	1
RO3G_00300	7
RO3G_00301	1
RO3G_00302	1
RO3G_00303	1
RO3G_00304	1
RO3G_00305	1
